unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789353337.9549	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0390		0	0	0	0	1
1789353337.9663	rest		L	1	0.0016	0.0023	0.0004	0.0037	0.1064	0.9899	-0.1649		0	0	0	0	1
1789353337.9663	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0386		0	0	0	0	1
1789353337.9775	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1064	0.9899	-0.1652		0	0	0	0	1
1789353337.9775	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0382		0	0	0	0	1
1789353337.9884	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1064	0.9896	-0.1673		0	0	0	0	1
1789353337.9884	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0377		0	0	0	0	1
1789353337.9995	rest		L	1	0.0016	0.0023	0.0004	0.0038	0.1065	0.9895	-0.1684		0	0	0	0	1
1789353337.9995	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0372		0	0	0	0	1
1789353338.0109	rest		L	1	0.0017	0.0023	0.0004	0.0039	0.1065	0.9894	-0.1696		0	0	0	0	1
1789353338.0109	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0368		0	0	0	0	1
1789353338.0218	rest		L	1	0.0017	0.0023	0.0004	0.0039	0.1065	0.9892	-0.1707		0	0	0	0	1
1789353338.0218	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1097	0.9996	-0.0363		0	0	0	0	1
1789353338.0328	rest		L	1	0.0017	0.0023	0.0004	0.0039	0.1065	0.9895	-0.1686		0	0	0	0	1
1789353338.0328	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0360		0	0	0	0	1
1789353338.0440	rest		L	1	0.0017	0.0023	0.0004	0.0039	0.1064	0.9895	-0.1685		0	0	0	0	1
1789353338.0440	rest		R	1	0.0020	0.0027	0.0006	0.0021	0.1098	0.9996	-0.0355		0	0	0	0	1
1789353338.0552	rest		L	1	0.0017	0.0023	0.0004	0.0039	0.1064	0.9895	-0.1684		0	0	0	0	1
