# сэмплер частоты GPU, период 0.5 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789437615.950907106	456000000	66	0 41793524 86070936 170287853 1071675501 2957843641 74444 76541 11845 1242547 
1789437616.501129973	456000000	67	0 41793524 86070936 170287853 1071675501 2958214045 74444 76541 11845 1242547 
1789437617.051112632	456000000	67	0 41793524 86070936 170287853 1071675501 2958584421 74444 76541 11845 1242547 
1789437617.600032843	456000000	66	0 41793524 86070936 170287853 1071675501 2958946212 74444 76541 11845 1242547 
1789437618.146097741	456000000	66	0 41793524 86070936 170287853 1071675501 2959309013 74444 76541 11845 1242547 
1789437618.697748525	456000000	66	0 41793524 86070936 170287853 1071675501 2959672422 74444 76541 11845 1242547 
1789437619.240743371	456000000	66	0 41793524 86070936 170287853 1071675501 2960038023 74444 76541 11845 1242547 
1789437619.790405197	456000000	66	0 41793524 86070936 170287853 1071675501 2960398899 74444 76541 11845 1242547 
1789437620.333771657	456000000	66	0 41793524 86070936 170287853 1071675501 2960760892 74444 76541 11845 1242547 
1789437620.881760670	456000000	66	0 41793524 86070936 170287853 1071675501 2961123892 74444 76541 11845 1242547 
1789437621.426531089	456000000	66	0 41793524 86070936 170287853 1071675501 2961486361 74444 76541 11845 1242547 
1789437621.971585987	456000000	66	0 41793524 86070936 170287853 1071675501 2961847935 74444 76541 11845 1242547 
1789437622.522084635	456000000	66	0 41793524 86070936 170287853 1071675501 2962216642 74444 76541 11845 1242547 
1789437623.065233492	456000000	66	0 41793524 86070936 170287853 1071675501 2962584219 74444 76541 11845 1242547 
1789437623.614150005	456000000	66	0 41793524 86070936 170287853 1071675501 2962947722 74444 76541 11845 1242547 
1789437624.163220789	456000000	66	0 41793524 86070936 170287853 1071675501 2963315885 74444 76541 11845 1242547 
1789437624.711978656	456000000	66	0 41793524 86070936 170287853 1071675501 2963676643 74444 76541 11845 1242547 
1789437625.259730898	456000000	66	0 41793524 86070936 170287853 1071675501 2964038860 74444 76541 11845 1242547 
1789437625.810970171	456000000	66	0 41793524 86070936 170287853 1071675501 2964404044 74444 76541 11845 1242547 
1789437626.357337882	456000000	66	0 41793524 86070936 170287853 1071675501 2964769240 74444 76541 11845 1242547 
1789437626.906894760	456000000	66	0 41793524 86070936 170287853 1071675501 2965135347 74444 76541 11845 1242547 
1789437627.458951846	456000000	66	0 41793524 86070936 170287853 1071675501 2965498163 74444 76541 11845 1242547 
1789437628.007160078	456000000	66	0 41793524 86070936 170287853 1071675501 2965862864 74444 76541 11845 1242547 
1789437628.554814664	456000000	66	0 41793524 86070936 170287853 1071675501 2966228016 74444 76541 11845 1242547 
1789437629.104156437	456000000	66	0 41793524 86070936 170287853 1071675501 2966590211 74444 76541 11845 1242547 
1789437629.648791179	456000000	66	0 41793524 86070936 170287853 1071675501 2966953473 74444 76541 11845 1242547 
1789437630.198275713	456000000	66	0 41793524 86070936 170287853 1071675501 2967318430 74444 76541 11845 1242547 
1789437630.744508736	456000000	66	0 41793524 86070936 170287853 1071675501 2967681192 74444 76541 11845 1242547 
1789437631.287975509	456000000	66	0 41793524 86070936 170287853 1071675501 2968043790 74444 76541 11845 1242547 
1789437631.836033688	456000000	66	0 41793524 86070936 170287853 1071675501 2968406096 74444 76541 11845 1242547 
1789437632.383077337	456000000	66	0 41793524 86070936 170287853 1071675501 2968771833 74444 76541 11845 1242547 
1789437632.932600881	456000000	66	0 41793524 86070936 170287853 1071675501 2969135318 74444 76541 11845 1242547 
1789437633.481159790	456000000	66	0 41793524 86070936 170287853 1071675501 2969495524 74444 76541 11845 1242547 
1789437634.022926354	456000000	66	0 41793524 86070936 170287853 1071675501 2969859175 74444 76541 11845 1242547 
1789437634.574359169	456000000	66	0 41793524 86070936 170287853 1071675501 2970225956 74444 76541 11845 1242547 
1789437635.119598755	456000000	66	0 41793524 86070936 170287853 1071675501 2970593202 74444 76541 11845 1242547 
1789437635.669648654	456000000	66	0 41793524 86070936 170287853 1071675501 2970956214 74444 76541 11845 1242547 
1789437636.215494697	456000000	66	0 41793524 86070936 170287853 1071675501 2971317417 74444 76541 11845 1242547 
1789437636.761806314	456000000	66	0 41793524 86070936 170287853 1071675501 2971680593 74444 76541 11845 1242547 
1789437637.305224077	456000000	66	0 41793524 86070936 170287853 1071675501 2972050771 74444 76541 11845 1242547 
1789437637.855282934	456000000	67	0 41793524 86070936 170287853 1071675501 2972421073 74444 76541 11845 1242547 
1789437638.403288457	456000000	67	0 41793524 86070936 170287853 1071675501 2972787001 74444 76541 11845 1242547 
1789437638.947167209	456000000	67	0 41793524 86070936 170287853 1071675501 2973149403 74444 76541 11845 1242547 
1789437639.494708410	456000000	66	0 41793524 86070936 170287853 1071675501 2973516162 74444 76541 11845 1242547 
1789437640.046234246	456000000	66	0 41793524 86070936 170287853 1071675501 2973880049 74444 76541 11845 1242547 
1789437640.591389248	456000000	66	0 41793524 86070936 170287853 1071675501 2974243620 74444 76541 11845 1242547 
1789437641.142534928	456000000	66	0 41793524 86070936 170287853 1071675501 2974611673 74444 76541 11845 1242547 
1789437641.699907431	456000000	66	0 41793524 86070936 170287853 1071675501 2974982682 74444 76541 11845 1242547 
1789437642.251634986	456000000	66	0 41793524 86070936 170287853 1071675501 2975342969 74444 76541 11845 1242547 
1789437642.801380041	456000000	66	0 41793524 86070936 170287853 1071675501 2975710040 74444 76541 11845 1242547 
1789437643.351121971	456000000	66	0 41793524 86070936 170287853 1071675501 2976069793 74444 76541 11845 1242547 
1789437643.896681713	456000000	66	0 41793524 86070936 170287853 1071675501 2976434981 74444 76541 11845 1242547 
1789437644.443148955	456000000	66	0 41793524 86070936 170287853 1071675501 2976798579 74444 76541 11845 1242547 
1789437644.993564270	456000000	66	0 41793524 86070936 170287853 1071675501 2977168399 74444 76541 11845 1242547 
1789437645.547307502	456000000	66	0 41793524 86070936 170287853 1071675501 2977531293 74444 76541 11845 1242547 
1789437646.095346046	456000000	66	0 41793524 86070936 170287853 1071675501 2977895783 74444 76541 11845 1242547 
1789437646.647252403	456000000	66	0 41793524 86070936 170287853 1071675501 2978259779 74444 76541 11845 1242547 
1789437647.193937927	456000000	66	0 41793524 86070936 170287853 1071675501 2978624833 74444 76541 11845 1242547 
1789437647.748005794	456000000	66	0 41793524 86070936 170287853 1071675501 2978990275 74444 76541 11845 1242547 
1789437648.295232776	456000000	66	0 41793524 86070936 170287853 1071675501 2979351151 74444 76541 11845 1242547 
1789437648.846220279	456000000	66	0 41793524 86070936 170287853 1071675501 2979716862 74444 76541 11845 1242547 
1789437649.394555385	456000000	66	0 41793524 86070936 170287853 1071675501 2980078038 74444 76541 11845 1242547 
1789437649.946238617	456000000	66	0 41793524 86070936 170287853 1071675501 2980445114 74444 76541 11845 1242547 
1789437650.492968984	456000000	66	0 41793524 86070936 170287853 1071675501 2980806262 74444 76541 11845 1242547 
1789437651.044701643	456000000	66	0 41793524 86070936 170287853 1071675501 2981172169 74444 76541 11845 1242547 
1789437651.593586073	456000000	66	0 41793524 86070936 170287853 1071675501 2981534222 74444 76541 11845 1242547 
1789437652.146175399	456000000	66	0 41793524 86070936 170287853 1071675501 2981899892 74444 76541 11845 1242547 
1789437652.694300037	456000000	66	0 41793524 86070936 170287853 1071675501 2982260992 74444 76541 11845 1242547 
1789437653.242143477	456000000	66	0 41793524 86070936 170287853 1071675501 2982623210 74444 76541 11845 1242547 
1789437653.792515928	456000000	66	0 41793524 86070936 170287853 1071675501 2982988569 74444 76541 11845 1242547 
1789437654.338954055	456000000	66	0 41793524 86070936 170287853 1071675501 2983351521 74444 76541 11845 1242547 
1789437654.890934943	456000000	66	0 41793524 86070936 170287853 1071675501 2983716767 74444 76541 11845 1242547 
1789437655.437691039	456000000	66	0 41793524 86070936 170287853 1071675501 2984079431 74444 76541 11845 1242547 
1789437655.986109375	456000000	66	0 41793524 86070936 170287853 1071675501 2984441963 74444 76541 11845 1242547 
1789437656.535762138	456000000	66	0 41793524 86070936 170287853 1071675501 2984806056 74444 76541 11845 1242547 
1789437657.081899537	456000000	66	0 41793524 86070936 170287853 1071675501 2985170210 74444 76541 11845 1242547 
1789437657.630944435	456000000	66	0 41793524 86070936 170287853 1071675501 2985532965 74444 76541 11845 1242547 
1789437658.182102823	456000000	66	0 41793524 86070936 170287853 1071675501 2985900354 74444 76541 11845 1242547 
1789437658.734593555	456000000	66	0 41793524 86070936 170287853 1071675501 2986265784 74444 76541 11845 1242547 
1789437659.286354704	456000000	66	0 41793524 86070936 170287853 1071675501 2986636733 74444 76541 11845 1242547 
1789437659.837944603	456000000	66	0 41793524 86070936 170287853 1071675501 2986998767 74444 76541 11845 1242547 
1789437660.388549606	456000000	66	0 41793524 86070936 170287853 1071675501 2987363387 74444 76541 11845 1242547 
1789437660.934590493	456000000	66	0 41793524 86070936 170287853 1071675501 2987728024 74444 76541 11845 1242547 
1789437661.484147111	456000000	66	0 41793524 86070936 170287853 1071675501 2988090759 74444 76541 11845 1242547 
1789437662.033632478	456000000	66	0 41793524 86070936 170287853 1071675501 2988455773 74444 76541 11845 1242547 
1789437662.582650970	456000000	66	0 41793524 86070936 170287853 1071675501 2988818872 74444 76541 11845 1242547 
1789437663.127878264	456000000	66	0 41793524 86070936 170287853 1071675501 2989179573 74444 76541 11845 1242547 
