# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789242057.555445794	545000000	63	0 13930127 20993223 41622188 673307692 1684960302 0 64765 0 697018 
1789242057.858368636	492000000	63	0 13930127 20993223 41826499 673341422 1684960302 0 64765 0 697018 
1789242058.158942677	545000000	63	0 13930127 20993223 42057359 673341422 1684960302 0 64765 0 697018 
1789242058.463438905	545000000	77	0 13930127 20993223 42290405 673341422 1684960302 0 64765 0 697018 
1789242058.764817841	545000000	77	0 13930127 20993223 42524736 673341422 1684960302 0 64765 0 697018 
1789242059.066466517	545000000	77	0 13930127 20993223 42754190 673341422 1684960302 0 64765 0 697018 
1789242059.366044776	545000000	77	0 13930127 20993223 42983954 673341422 1684960302 0 64765 0 697018 
1789242059.665357618	545000000	77	0 13930127 20993223 43212707 673341422 1684960302 0 64765 0 697018 
1789242059.959973429	545000000	77	0 13930127 20993223 43407282 673341422 1684960302 0 64765 0 697018 
1789242060.258475125	640000000	77	0 13979476 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242060.558923905	640000000	69	0 14277491 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242060.857873258	640000000	69	0 14574595 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242061.158296100	640000000	69	0 14873272 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242061.458719620	640000000	99	0 15174213 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242061.764704963	640000000	99	0 15476117 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242062.072271973	640000000	99	0 15777911 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242062.367698721	640000000	99	0 16074233 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242062.670011303	640000000	99	0 16311783 21003932 43481072 673363423 1684960302 0 64765 0 697018 
1789242062.966570760	599000000	99	0 16389696 21041132 43481072 673363423 1684960302 0 64765 0 697018 
1789242063.265131206	599000000	99	0 16389696 21157721 43481072 673363423 1684960302 0 64765 0 697018 
1789242063.565443267	599000000	47	0 16389696 21273875 43481072 673363423 1684960302 0 64765 0 697018 
1789242063.866468297	545000000	47	0 16389696 21315395 43559789 673363423 1684960302 0 64765 0 697018 
1789242064.159875410	545000000	47	0 16389696 21315395 43688746 673363423 1684960302 0 64765 0 697018 
1789242064.463377159	545000000	41	0 16389696 21315395 43818335 673363423 1684960302 0 64765 0 697018 
1789242064.769564168	545000000	41	0 16389696 21315395 43951555 673363423 1684960302 0 64765 0 697018 
1789242065.070280865	492000000	41	0 16389696 21315395 43962409 673501199 1684960302 0 64765 0 697018 
1789242065.380992771	492000000	41	0 16389696 21315395 43962409 673626265 1684960302 0 64765 0 697018 
1789242065.688168062	492000000	44	0 16389696 21315395 43962409 673794581 1684960302 0 64765 0 697018 
1789242065.994036374	456000000	44	0 16389696 21315395 43962409 673892259 1685024860 0 64765 0 697018 
1789242066.299783748	456000000	44	0 16389696 21315395 43962409 673892259 1685173045 0 64765 0 697018 
1789242066.599661486	456000000	51	0 16389696 21315395 43962409 673892259 1685323274 0 64765 0 697018 
1789242066.902284485	456000000	51	0 16389696 21315395 43962409 673892259 1685474252 0 64765 0 697018 
1789242067.201400765	456000000	51	0 16389696 21315395 43962409 673892259 1685617073 0 64765 0 697018 
1789242067.503548660	456000000	48	0 16389696 21315395 43962409 673892259 1685762255 0 64765 0 697018 
1789242067.804301606	456000000	48	0 16389696 21315395 43962409 673892259 1685882033 0 64765 0 697018 
1789242068.101064396	456000000	48	0 16389696 21315395 43962409 673892259 1686016852 0 64765 0 697018 
