# память GPU процесса org.flamti.vrge.probe (PID 31747), период 1 с
# unix_время	тип	total_KB	mapped_KB	count
1789398302.937687184	vk_descriptorpo	656	656	18
1789398302.937687184	vk_device	212	212	10
1789398302.937687184	vk_devicememory	298712	229376	7
1789398302.937687184	vk_image	224	224	3
1789398302.937687184	vk_program	212	212	3
1789398302.937687184	vk_queue	8232	8232	3
1789398303.963244994	any(0)	660	84	13
1789398303.963244994	command	32	32	2
1789398303.963244994	gl	128	128	2
1789398303.963244994	vk_any	832	832	13
1789398303.963244994	vk_cmdbuffer	1304	1304	56
1789398303.963244994	vk_descriptorpo	528	528	10
1789398303.963244994	vk_device	212	212	10
1789398303.963244994	vk_devicememory	298712	229376	7
1789398303.963244994	vk_image	224	224	3
1789398303.963244994	vk_program	212	212	3
1789398303.963244994	vk_queue	8232	8232	3
1789398304.989660096	any(0)	660	84	13
1789398304.989660096	command	32	32	2
1789398304.989660096	gl	128	128	2
1789398304.989660096	vk_any	960	960	15
1789398304.989660096	vk_cmdbuffer	1448	1448	59
1789398304.989660096	vk_descriptorpo	672	672	19
1789398304.989660096	vk_device	212	212	10
1789398304.989660096	vk_devicememory	298712	229376	7
1789398304.989660096	vk_image	224	224	3
1789398304.989660096	vk_program	212	212	3
1789398304.989660096	vk_queue	8232	8232	3
1789398306.013683271	any(0)	660	84	13
1789398306.013683271	command	32	32	2
1789398306.013683271	gl	128	128	2
1789398306.013683271	vk_any	960	960	15
1789398306.013683271	vk_cmdbuffer	1448	1448	59
1789398306.013683271	vk_descriptorpo	672	672	19
1789398306.013683271	vk_device	212	212	10
1789398306.013683271	vk_devicememory	298712	229376	7
1789398306.013683271	vk_image	224	224	3
1789398306.013683271	vk_program	212	212	3
1789398306.013683271	vk_queue	8232	8232	3
1789398307.039551655	any(0)	660	84	13
1789398307.039551655	command	32	32	2
1789398307.039551655	gl	128	128	2
1789398307.039551655	vk_any	960	960	15
1789398307.039551655	vk_cmdbuffer	1448	1448	59
1789398307.039551655	vk_descriptorpo	672	672	19
1789398307.039551655	vk_device	212	212	10
1789398307.039551655	vk_devicememory	298712	229376	7
1789398307.039551655	vk_image	224	224	3
1789398307.039551655	vk_program	212	212	3
1789398307.039551655	vk_queue	8232	8232	3
1789398308.062349100	any(0)	660	84	13
1789398308.062349100	command	32	32	2
1789398308.062349100	gl	128	128	2
1789398308.062349100	vk_any	960	960	15
1789398308.062349100	vk_cmdbuffer	1464	1464	61
1789398308.062349100	vk_descriptorpo	688	688	20
1789398308.062349100	vk_device	212	212	10
1789398308.062349100	vk_devicememory	298712	229376	7
1789398308.062349100	vk_image	224	224	3
1789398308.062349100	vk_program	212	212	3
1789398308.062349100	vk_queue	8232	8232	3
1789398309.085708213	any(0)	660	84	13
1789398309.085708213	command	32	32	2
1789398309.085708213	gl	128	128	2
1789398309.085708213	vk_any	960	960	15
1789398309.085708213	vk_cmdbuffer	1464	1464	61
1789398309.085708213	vk_descriptorpo	688	688	20
1789398309.085708213	vk_device	212	212	10
1789398309.085708213	vk_devicememory	298712	229376	7
1789398309.085708213	vk_image	224	224	3
1789398309.085708213	vk_program	212	212	3
1789398309.085708213	vk_queue	8232	8232	3
1789398310.108136700	any(0)	660	84	13
1789398310.108136700	command	32	32	2
1789398310.108136700	gl	128	128	2
1789398310.108136700	vk_any	960	960	15
1789398310.108136700	vk_cmdbuffer	1464	1464	61
1789398310.108136700	vk_descriptorpo	688	688	20
1789398310.108136700	vk_device	212	212	10
1789398310.108136700	vk_devicememory	298712	229376	7
1789398310.108136700	vk_image	224	224	3
1789398310.108136700	vk_program	212	212	3
1789398310.108136700	vk_queue	8232	8232	3
1789398311.134431750	any(0)	660	84	13
1789398311.134431750	command	32	32	2
1789398311.134431750	gl	128	128	2
1789398311.134431750	vk_any	960	960	15
1789398311.134431750	vk_cmdbuffer	1480	1480	63
1789398311.134431750	vk_descriptorpo	704	704	21
1789398311.134431750	vk_device	212	212	10
1789398311.134431750	vk_devicememory	298712	229376	7
1789398311.134431750	vk_image	224	224	3
1789398311.134431750	vk_program	212	212	3
1789398311.134431750	vk_queue	8232	8232	3
1789398312.159030654	any(0)	660	84	13
1789398312.159030654	command	32	32	2
1789398312.159030654	gl	128	128	2
1789398312.159030654	vk_any	960	960	15
1789398312.159030654	vk_cmdbuffer	1480	1480	63
1789398312.159030654	vk_descriptorpo	704	704	21
1789398312.159030654	vk_device	212	212	10
1789398312.159030654	vk_devicememory	298712	229376	7
1789398312.159030654	vk_image	224	224	3
1789398312.159030654	vk_program	212	212	3
1789398312.159030654	vk_queue	8232	8232	3
1789398313.185472475	any(0)	660	84	13
1789398313.185472475	command	32	32	2
1789398313.185472475	gl	128	128	2
1789398313.185472475	vk_any	960	960	15
1789398313.185472475	vk_cmdbuffer	1480	1480	63
1789398313.185472475	vk_descriptorpo	704	704	21
1789398313.185472475	vk_device	212	212	10
1789398313.185472475	vk_devicememory	298712	229376	7
1789398313.185472475	vk_image	224	224	3
1789398313.185472475	vk_program	212	212	3
1789398313.185472475	vk_queue	8232	8232	3
1789398314.210741275	any(0)	660	84	13
1789398314.210741275	command	32	32	2
1789398314.210741275	gl	128	128	2
1789398314.210741275	vk_any	960	960	15
1789398314.210741275	vk_cmdbuffer	1488	1488	64
1789398314.210741275	vk_descriptorpo	704	704	21
1789398314.210741275	vk_device	212	212	10
1789398314.210741275	vk_devicememory	298712	229376	7
1789398314.210741275	vk_image	224	224	3
1789398314.210741275	vk_program	212	212	3
1789398314.210741275	vk_queue	8232	8232	3
1789398315.236742940	any(0)	660	84	13
1789398315.236742940	command	32	32	2
1789398315.236742940	gl	128	128	2
1789398315.236742940	vk_any	960	960	15
1789398315.236742940	vk_cmdbuffer	1488	1488	64
1789398315.236742940	vk_descriptorpo	704	704	21
1789398315.236742940	vk_device	212	212	10
1789398315.236742940	vk_devicememory	298712	229376	7
1789398315.236742940	vk_image	224	224	3
1789398315.236742940	vk_program	212	212	3
1789398315.236742940	vk_queue	8232	8232	3
1789398316.263330646	any(0)	660	84	13
1789398316.263330646	command	32	32	2
1789398316.263330646	gl	128	128	2
1789398316.263330646	vk_any	960	960	15
1789398316.263330646	vk_cmdbuffer	1488	1488	64
1789398316.263330646	vk_descriptorpo	704	704	21
1789398316.263330646	vk_device	212	212	10
1789398316.263330646	vk_devicememory	298712	229376	7
1789398316.263330646	vk_image	224	224	3
1789398316.263330646	vk_program	212	212	3
1789398316.263330646	vk_queue	8232	8232	3
1789398317.288885176	any(0)	660	84	13
1789398317.288885176	command	32	32	2
1789398317.288885176	gl	128	128	2
1789398317.288885176	vk_any	960	960	15
1789398317.288885176	vk_cmdbuffer	1632	1632	68
1789398317.288885176	vk_descriptorpo	720	720	22
1789398317.288885176	vk_device	212	212	10
1789398317.288885176	vk_devicememory	298712	229376	7
1789398317.288885176	vk_image	224	224	3
1789398317.288885176	vk_program	212	212	3
1789398317.288885176	vk_queue	8232	8232	3
1789398318.316534549	any(0)	660	84	13
1789398318.316534549	command	32	32	2
1789398318.316534549	gl	128	128	2
1789398318.316534549	vk_any	960	960	15
1789398318.316534549	vk_cmdbuffer	1632	1632	68
1789398318.316534549	vk_descriptorpo	720	720	22
1789398318.316534549	vk_device	212	212	10
1789398318.316534549	vk_devicememory	298712	229376	7
1789398318.316534549	vk_image	224	224	3
1789398318.316534549	vk_program	212	212	3
1789398318.316534549	vk_queue	8232	8232	3
1789398319.341136995	any(0)	660	84	13
1789398319.341136995	command	32	32	2
1789398319.341136995	gl	128	128	2
1789398319.341136995	vk_any	960	960	15
1789398319.341136995	vk_cmdbuffer	1632	1632	68
1789398319.341136995	vk_descriptorpo	720	720	22
1789398319.341136995	vk_device	212	212	10
1789398319.341136995	vk_devicememory	298712	229376	7
1789398319.341136995	vk_image	224	224	3
1789398319.341136995	vk_program	212	212	3
1789398319.341136995	vk_queue	8232	8232	3
1789398320.366824909	any(0)	660	84	13
1789398320.366824909	command	32	32	2
1789398320.366824909	gl	128	128	2
1789398320.366824909	vk_any	960	960	15
1789398320.366824909	vk_cmdbuffer	1648	1648	70
1789398320.366824909	vk_descriptorpo	736	736	23
1789398320.366824909	vk_device	212	212	10
1789398320.366824909	vk_devicememory	298712	229376	7
1789398320.366824909	vk_image	224	224	3
1789398320.366824909	vk_program	212	212	3
1789398320.366824909	vk_queue	8232	8232	3
1789398321.389177407	any(0)	660	84	13
1789398321.389177407	command	32	32	2
1789398321.389177407	gl	128	128	2
1789398321.389177407	vk_any	960	960	15
1789398321.389177407	vk_cmdbuffer	1648	1648	70
1789398321.389177407	vk_descriptorpo	736	736	23
1789398321.389177407	vk_device	212	212	10
1789398321.389177407	vk_devicememory	298712	229376	7
1789398321.389177407	vk_image	224	224	3
1789398321.389177407	vk_program	212	212	3
1789398321.389177407	vk_queue	8232	8232	3
1789398322.413845322	any(0)	660	84	13
1789398322.413845322	command	32	32	2
1789398322.413845322	gl	128	128	2
1789398322.413845322	vk_any	960	960	15
1789398322.413845322	vk_cmdbuffer	1648	1648	70
1789398322.413845322	vk_descriptorpo	736	736	23
1789398322.413845322	vk_device	212	212	10
1789398322.413845322	vk_devicememory	298712	229376	7
1789398322.413845322	vk_image	224	224	3
1789398322.413845322	vk_program	212	212	3
1789398322.413845322	vk_queue	8232	8232	3
1789398323.437153653	any(0)	660	84	13
1789398323.437153653	command	32	32	2
1789398323.437153653	gl	128	128	2
1789398323.437153653	vk_any	960	960	15
1789398323.437153653	vk_cmdbuffer	1680	1680	74
1789398323.437153653	vk_descriptorpo	768	768	25
1789398323.437153653	vk_device	212	212	10
1789398323.437153653	vk_devicememory	298712	229376	7
1789398323.437153653	vk_image	224	224	3
1789398323.437153653	vk_program	212	212	3
1789398323.437153653	vk_queue	8232	8232	3
1789398324.460936515	any(0)	660	84	13
1789398324.460936515	command	32	32	2
1789398324.460936515	gl	128	128	2
1789398324.460936515	vk_any	960	960	15
1789398324.460936515	vk_cmdbuffer	1680	1680	74
1789398324.460936515	vk_descriptorpo	768	768	25
1789398324.460936515	vk_device	212	212	10
1789398324.460936515	vk_devicememory	298712	229376	7
1789398324.460936515	vk_image	224	224	3
1789398324.460936515	vk_program	212	212	3
1789398324.460936515	vk_queue	8232	8232	3
1789398325.485713648	any(0)	660	84	13
1789398325.485713648	command	32	32	2
1789398325.485713648	gl	128	128	2
1789398325.485713648	vk_any	960	960	15
1789398325.485713648	vk_cmdbuffer	1680	1680	74
1789398325.485713648	vk_descriptorpo	768	768	25
1789398325.485713648	vk_device	212	212	10
1789398325.485713648	vk_devicememory	298712	229376	7
1789398325.485713648	vk_image	224	224	3
1789398325.485713648	vk_program	212	212	3
1789398325.485713648	vk_queue	8232	8232	3
1789398326.507083073	any(0)	660	84	13
1789398326.507083073	command	32	32	2
1789398326.507083073	gl	128	128	2
1789398326.507083073	vk_any	960	960	15
1789398326.507083073	vk_cmdbuffer	1992	1992	99
1789398326.507083073	vk_descriptorpo	784	784	26
1789398326.507083073	vk_device	212	212	10
1789398326.507083073	vk_devicememory	298712	229376	7
1789398326.507083073	vk_image	224	224	3
1789398326.507083073	vk_program	212	212	3
1789398326.507083073	vk_queue	8232	8232	3
1789398327.530263331	any(0)	660	84	13
1789398327.530263331	command	32	32	2
1789398327.530263331	gl	128	128	2
1789398327.530263331	vk_any	960	960	15
1789398327.530263331	vk_cmdbuffer	1992	1992	99
1789398327.530263331	vk_descriptorpo	784	784	26
1789398327.530263331	vk_device	212	212	10
1789398327.530263331	vk_devicememory	298712	229376	7
1789398327.530263331	vk_image	224	224	3
1789398327.530263331	vk_program	212	212	3
1789398327.530263331	vk_queue	8232	8232	3
1789398328.552520673	any(0)	660	84	13
1789398328.552520673	command	32	32	2
1789398328.552520673	gl	128	128	2
1789398328.552520673	vk_any	960	960	15
1789398328.552520673	vk_cmdbuffer	1992	1992	99
1789398328.552520673	vk_descriptorpo	784	784	26
1789398328.552520673	vk_device	212	212	10
1789398328.552520673	vk_devicememory	298712	229376	7
1789398328.552520673	vk_image	224	224	3
1789398328.552520673	vk_program	212	212	3
1789398328.552520673	vk_queue	8232	8232	3
1789398329.573986712	any(0)	660	84	13
1789398329.573986712	command	32	32	2
1789398329.573986712	gl	128	128	2
1789398329.573986712	vk_any	960	960	15
1789398329.573986712	vk_cmdbuffer	2304	2304	108
1789398329.573986712	vk_descriptorpo	832	832	29
1789398329.573986712	vk_device	212	212	10
1789398329.573986712	vk_devicememory	298712	229376	7
1789398329.573986712	vk_image	224	224	3
1789398329.573986712	vk_program	212	212	3
1789398329.573986712	vk_queue	8232	8232	3
1789398330.594566553	any(0)	660	84	13
1789398330.594566553	command	32	32	2
1789398330.594566553	gl	128	128	2
1789398330.594566553	vk_any	960	960	15
1789398330.594566553	vk_cmdbuffer	2304	2304	108
1789398330.594566553	vk_descriptorpo	832	832	29
1789398330.594566553	vk_device	212	212	10
1789398330.594566553	vk_devicememory	298712	229376	7
1789398330.594566553	vk_image	224	224	3
1789398330.594566553	vk_program	212	212	3
1789398330.594566553	vk_queue	8232	8232	3
1789398331.617122332	any(0)	660	84	13
1789398331.617122332	command	32	32	2
1789398331.617122332	gl	128	128	2
1789398331.617122332	vk_any	960	960	15
1789398331.617122332	vk_cmdbuffer	2304	2304	108
1789398331.617122332	vk_descriptorpo	832	832	29
1789398331.617122332	vk_device	212	212	10
1789398331.617122332	vk_devicememory	298712	229376	7
1789398331.617122332	vk_image	224	224	3
1789398331.617122332	vk_program	212	212	3
1789398331.617122332	vk_queue	8232	8232	3
1789398332.641416445	any(0)	660	84	13
1789398332.641416445	command	32	32	2
1789398332.641416445	gl	128	128	2
1789398332.641416445	vk_any	960	960	15
1789398332.641416445	vk_cmdbuffer	3024	3024	140
1789398332.641416445	vk_descriptorpo	928	928	35
1789398332.641416445	vk_device	212	212	10
1789398332.641416445	vk_devicememory	298712	229376	7
1789398332.641416445	vk_image	224	224	3
1789398332.641416445	vk_program	212	212	3
1789398332.641416445	vk_queue	8264	8264	3
1789398333.664643630	any(0)	660	84	13
1789398333.664643630	command	32	32	2
1789398333.664643630	gl	128	128	2
1789398333.664643630	vk_any	960	960	15
1789398333.664643630	vk_cmdbuffer	3024	3024	140
1789398333.664643630	vk_descriptorpo	928	928	35
1789398333.664643630	vk_device	212	212	10
1789398333.664643630	vk_devicememory	298712	229376	7
1789398333.664643630	vk_image	224	224	3
1789398333.664643630	vk_program	212	212	3
1789398333.664643630	vk_queue	8264	8264	3
1789398334.692485555	any(0)	660	84	13
1789398334.692485555	command	32	32	2
1789398334.692485555	gl	128	128	2
1789398334.692485555	vk_any	960	960	15
1789398334.692485555	vk_cmdbuffer	3024	3024	140
1789398334.692485555	vk_descriptorpo	928	928	35
1789398334.692485555	vk_device	212	212	10
1789398334.692485555	vk_devicememory	298712	229376	7
1789398334.692485555	vk_image	224	224	3
1789398334.692485555	vk_program	212	212	3
1789398334.692485555	vk_queue	8264	8264	3
1789398335.716118938	any(0)	660	84	13
1789398335.716118938	command	32	32	2
1789398335.716118938	gl	128	128	2
1789398335.716118938	vk_any	960	960	15
1789398335.716118938	vk_cmdbuffer	3024	3024	140
1789398335.716118938	vk_descriptorpo	528	528	10
1789398335.716118938	vk_device	212	212	10
1789398335.716118938	vk_devicememory	560856	491520	8
1789398335.716118938	vk_image	628	628	4
1789398335.716118938	vk_program	212	212	3
1789398335.716118938	vk_queue	8264	8264	3
1789398336.741577426	any(0)	660	84	13
1789398336.741577426	command	32	32	2
1789398336.741577426	gl	128	128	2
1789398336.741577426	vk_any	960	960	15
