# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789398290.165678203	456000000	53	0 27148209 61657569 125737205 977840027 2309715672 74444 76541 11845 1195928 
1789398290.467687191	456000000	53	0 27148209 61657569 125737205 977840027 2309854345 74444 76541 11845 1195928 
1789398290.765809461	456000000	53	0 27148209 61657569 125737205 977840027 2309996096 74444 76541 11845 1195928 
1789398291.066538345	456000000	46	0 27148209 61657569 125737205 977840027 2310155020 74444 76541 11845 1195928 
1789398291.371248427	456000000	46	0 27148209 61657569 125737205 977840027 2310302110 74444 76541 11845 1195928 
1789398291.679949031	456000000	46	0 27148209 61657569 125737205 977840027 2310432722 74444 76541 11845 1195928 
1789398291.983168748	456000000	48	0 27148209 61657569 125737205 977840027 2310593093 74444 76541 11845 1195928 
1789398292.290850550	456000000	48	0 27148209 61657569 125737205 977840027 2310757960 74444 76541 11845 1195928 
1789398292.587136204	492000000	48	0 27148209 61657569 125737205 977890544 2310866951 74444 76541 11845 1195928 
1789398292.887586443	492000000	51	0 27148209 61657569 125737205 978026551 2310866951 74444 76541 11845 1195928 
1789398293.181959285	492000000	51	0 27148209 61657569 125737205 978162356 2310866951 74444 76541 11845 1195928 
1789398293.486142232	492000000	51	0 27148209 61657569 125737205 978301082 2310866951 74444 76541 11845 1195928 
1789398293.784760803	456000000	51	0 27148209 61657569 125737205 978357109 2310951882 74444 76541 11845 1195928 
1789398294.087325416	456000000	46	0 27148209 61657569 125737205 978357109 2311097032 74444 76541 11845 1195928 
1789398294.390034405	456000000	46	0 27148209 61657569 125737205 978357109 2311241793 74444 76541 11845 1195928 
1789398294.693439018	456000000	46	0 27148209 61657569 125737205 978357109 2311350915 74444 76541 11845 1195928 
1789398294.992410298	456000000	45	0 27148209 61657569 125737205 978357109 2311512704 74444 76541 11845 1195928 
1789398295.297964391	456000000	45	0 27148209 61657569 125737205 978357109 2311692364 74444 76541 11845 1195928 
1789398295.605993849	456000000	45	0 27148209 61657569 125737205 978357109 2311872035 74444 76541 11845 1195928 
1789398295.914086536	456000000	57	0 27148209 61657569 125737205 978357109 2312057113 74444 76541 11845 1195928 
1789398296.222380681	456000000	57	0 27148209 61657569 125737205 978357109 2312240880 74444 76541 11845 1195928 
1789398296.529901285	456000000	57	0 27148209 61657569 125737205 978357109 2312407280 74444 76541 11845 1195928 
1789398296.829323606	456000000	57	0 27148209 61657569 125737205 978357109 2312560620 74444 76541 11845 1195928 
1789398297.129951188	456000000	55	0 27148209 61657569 125737205 978357109 2312741799 74444 76541 11845 1195928 
1789398297.436156271	456000000	55	0 27148209 61657569 125737205 978357109 2312938646 74444 76541 11845 1195928 
1789398297.739228489	456000000	55	0 27148209 61657569 125737205 978357109 2313068964 74444 76541 11845 1195928 
1789398298.035146174	456000000	56	0 27148209 61657569 125737205 978357109 2313224136 74444 76541 11845 1195928 
1789398298.332821204	456000000	56	0 27148209 61657569 125737205 978357109 2313390724 74444 76541 11845 1195928 
1789398298.636418213	456000000	56	0 27148209 61657569 125737205 978357109 2313574590 74444 76541 11845 1195928 
1789398298.942499025	456000000	57	0 27148209 61657569 125737205 978357109 2313764861 74444 76541 11845 1195928 
1789398299.247075618	456000000	57	0 27148209 61657569 125737205 978357109 2313947645 74444 76541 11845 1195928 
1789398299.552817575	456000000	57	0 27148209 61657569 125737205 978357109 2314135138 74444 76541 11845 1195928 
1789398299.858181981	456000000	60	0 27148209 61657569 125737205 978357109 2314319026 74444 76541 11845 1195928 
1789398300.159438625	456000000	60	0 27148209 61657569 125737205 978357109 2314504601 74444 76541 11845 1195928 
1789398300.466073239	456000000	60	0 27148209 61657569 125737205 978357109 2314691350 74444 76541 11845 1195928 
1789398300.777334989	456000000	60	0 27148209 61657569 125737205 978357109 2314857031 74444 76541 11845 1195928 
1789398301.086862937	456000000	56	0 27148209 61657569 125737205 978362602 2314985816 74444 76541 11845 1195928 
