# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789310410.378496825	456000000	42	0 23308971 32015643 70224870 882694687 1935239928 0 64765 0 773435 
1789310410.678138521	456000000	42	0 23308971 32015643 70224870 882694687 1935369149 0 64765 0 773435 
1789310410.974676103	456000000	42	0 23308971 32015643 70224870 882694687 1935500972 0 64765 0 773435 
1789310411.273853528	456000000	42	0 23308971 32015643 70224870 882694687 1935634971 0 64765 0 773435 
1789310411.575273611	456000000	42	0 23308971 32015643 70224870 882694687 1935759770 0 64765 0 773435 
1789310411.871645619	456000000	43	0 23308971 32015643 70224870 882694687 1935882594 0 64765 0 773435 
1789310412.174532264	456000000	43	0 23308971 32015643 70224870 882694687 1936001353 0 64765 0 773435 
1789310412.470902919	456000000	43	0 23308971 32015643 70224870 882694687 1936121856 0 64765 0 773435 
1789310412.770641178	456000000	40	0 23308971 32015643 70224870 882694687 1936238963 0 64765 0 773435 
1789310413.066389905	456000000	40	0 23308971 32015643 70224870 882694687 1936358280 0 64765 0 773435 
1789310413.363781549	456000000	40	0 23308971 32015643 70224870 882694687 1936477551 0 64765 0 773435 
1789310413.662701683	456000000	39	0 23308971 32015643 70224870 882694687 1936595242 0 64765 0 773435 
1789310413.962705255	456000000	39	0 23308971 32015643 70224870 882694687 1936714696 0 64765 0 773435 
1789310414.261332524	456000000	39	0 23308971 32015643 70224870 882694687 1936830150 0 64765 0 773435 
1789310414.556192553	456000000	39	0 23308971 32015643 70224870 882694687 1936948472 0 64765 0 773435 
1789310414.854659250	456000000	39	0 23308971 32015643 70224870 882694687 1937074894 0 64765 0 773435 
1789310415.153639852	456000000	39	0 23308971 32015643 70224870 882694687 1937222307 0 64765 0 773435 
1789310415.452753216	456000000	39	0 23308971 32015643 70224870 882694687 1937368531 0 64765 0 773435 
1789310415.748017724	456000000	47	0 23308971 32015643 70224870 882694687 1937513628 0 64765 0 773435 
1789310416.045904108	456000000	47	0 23308971 32015643 70224870 882694687 1937660997 0 64765 0 773435 
1789310416.342844763	456000000	47	0 23308971 32015643 70224870 882694687 1937806056 0 64765 0 773435 
1789310416.638700782	456000000	49	0 23308971 32015643 70224870 882694687 1937955349 0 64765 0 773435 
1789310416.939805655	456000000	49	0 23308971 32015643 70224870 882694687 1938103998 0 64765 0 773435 
1789310417.238682039	456000000	49	0 23308971 32015643 70224870 882694687 1938250067 0 64765 0 773435 
1789310417.540029153	456000000	49	0 23308971 32015643 70224870 882694687 1938396507 0 64765 0 773435 
1789310417.836191526	456000000	49	0 23308971 32015643 70224870 882694687 1938543978 0 64765 0 773435 
1789310418.133114316	456000000	49	0 23308971 32015643 70224870 882694687 1938692285 0 64765 0 773435 
1789310418.431414450	456000000	49	0 23308971 32015643 70224870 882694687 1938841280 0 64765 0 773435 
1789310418.734058074	456000000	49	0 23308971 32015643 70224870 882694687 1938988575 0 64765 0 773435 
1789310419.033367531	456000000	49	0 23308971 32015643 70224870 882694687 1939136147 0 64765 0 773435 
1789310419.326734435	456000000	49	0 23308971 32015643 70224870 882694687 1939274810 0 64765 0 773435 
1789310419.628134465	456000000	47	0 23308971 32015643 70224870 882694687 1939413447 0 64765 0 773435 
1789310419.929628870	456000000	47	0 23308971 32015643 70224870 882694687 1939575894 0 64765 0 773435 
1789310420.230628223	456000000	47	0 23308971 32015643 70224870 882694687 1939745962 0 64765 0 773435 
1789310420.535092264	456000000	47	0 23308971 32015643 70224870 882694687 1939916139 0 64765 0 773435 
1789310420.839624533	456000000	54	0 23308971 32015643 70224870 882694687 1940086556 0 64765 0 773435 
1789310421.138588365	456000000	54	0 23308971 32015643 70224870 882694687 1940251291 0 64765 0 773435 
1789310421.442024333	456000000	54	0 23308971 32015643 70224870 882694687 1940414003 0 64765 0 773435 
1789310421.747974207	456000000	54	0 23308971 32015643 70224870 882694687 1940579672 0 64765 0 773435 
1789310422.053748196	456000000	54	0 23308971 32015643 70224870 882694687 1940748927 0 64765 0 773435 
1789310422.355738174	456000000	54	0 23308971 32015643 70224870 882694687 1940913592 0 64765 0 773435 
1789310422.660385496	456000000	54	0 23308971 32015643 70224870 882694687 1941076387 0 64765 0 773435 
1789310422.961413599	456000000	54	0 23308971 32015643 70224870 882694687 1941243341 0 64765 0 773435 
1789310423.271695036	456000000	54	0 23308971 32015643 70224870 882694687 1941410840 0 64765 0 773435 
1789310423.575312254	456000000	54	0 23308971 32015643 70224870 882694687 1941574871 0 64765 0 773435 
1789310423.880145253	456000000	54	0 23308971 32015643 70224870 882694687 1941738658 0 64765 0 773435 
1789310424.186491065	456000000	54	0 23308971 32015643 70224870 882694687 1941905918 0 64765 0 773435 
1789310424.490713126	456000000	54	0 23308971 32015643 70224870 882694687 1942070150 0 64765 0 773435 
1789310424.791371021	456000000	54	0 23308971 32015643 70224870 882694687 1942233619 0 64765 0 773435 
1789310425.095179541	456000000	54	0 23308971 32015643 70224870 882694687 1942402431 0 64765 0 773435 
1789310425.401693634	456000000	54	0 23308971 32015643 70224870 882694687 1942568571 0 64765 0 773435 
1789310425.710681894	456000000	54	0 23308971 32015643 70224870 882694687 1942732311 0 64765 0 773435 
1789310426.010894945	456000000	54	0 23308971 32015643 70224870 882694687 1942893743 0 64765 0 773435 
1789310426.316914923	456000000	54	0 23308971 32015643 70224870 882694687 1943060527 0 64765 0 773435 
1789310426.621161828	456000000	54	0 23308971 32015643 70224870 882694687 1943230414 0 64765 0 773435 
1789310426.924159775	456000000	54	0 23308971 32015643 70224870 882694687 1943394130 0 64765 0 773435 
1789310427.227836003	456000000	54	0 23308971 32015643 70224870 882694687 1943559865 0 64765 0 773435 
1789310427.532832909	456000000	54	0 23308971 32015643 70224870 882694687 1943722819 0 64765 0 773435 
1789310427.836457262	456000000	54	0 23308971 32015643 70224870 882694687 1943891470 0 64765 0 773435 
1789310428.142139011	456000000	54	0 23308971 32015643 70224870 882694687 1944057526 0 64765 0 773435 
1789310428.440692478	456000000	54	0 23308971 32015643 70224870 882694687 1944219536 0 64765 0 773435 
1789310428.746479488	456000000	54	0 23308971 32015643 70224870 882694687 1944382212 0 64765 0 773435 
1789310429.047133424	456000000	54	0 23308971 32015643 70224870 882694687 1944550462 0 64765 0 773435 
1789310429.350717048	456000000	54	0 23308971 32015643 70224870 882694687 1944715296 0 64765 0 773435 
1789310429.658219318	456000000	54	0 23308971 32015643 70224870 882694687 1944881735 0 64765 0 773435 
1789310429.963386640	456000000	54	0 23308971 32015643 70224870 882694687 1945049958 0 64765 0 773435 
1789310430.270056202	456000000	54	0 23308971 32015643 70224870 882694687 1945213970 0 64765 0 773435 
1789310430.572623003	456000000	54	0 23308971 32015643 70224870 882694687 1945380981 0 64765 0 773435 
1789310430.877185325	456000000	54	0 23308971 32015643 70224870 882694687 1945543646 0 64765 0 773435 
1789310431.179121241	456000000	54	0 23308971 32015643 70224870 882694687 1945707724 0 64765 0 773435 
1789310431.483885177	456000000	54	0 23308971 32015643 70224870 882694687 1945857614 0 64765 0 773435 
1789310431.782858280	456000000	52	0 23308971 32015643 70224870 882694687 1946020822 0 64765 0 773435 
1789310432.089532008	456000000	52	0 23308971 32015643 70224870 882694687 1946185747 0 64765 0 773435 
1789310432.392578341	456000000	52	0 23308971 32015643 70224870 882694687 1946368065 0 64765 0 773435 
1789310432.701132955	456000000	56	0 23308971 32015643 70224870 882694687 1946548989 0 64765 0 773435 
1789310433.009485590	456000000	56	0 23308971 32015643 70224870 882694687 1946729764 0 64765 0 773435 
1789310433.315215099	456000000	56	0 23308971 32015643 70224870 882694687 1946908539 0 64765 0 773435 
1789310433.615629504	456000000	56	0 23308971 32015643 70224870 882694687 1947057291 0 64765 0 773435 
1789310433.914693753	456000000	56	0 23308971 32015643 70224870 882694687 1947216966 0 64765 0 773435 
1789310434.217248158	456000000	56	0 23308971 32015643 70224870 882694687 1947383355 0 64765 0 773435 
1789310434.522260792	456000000	56	0 23308971 32015643 70224870 882694687 1947549884 0 64765 0 773435 
1789310434.826097281	456000000	54	0 23308971 32015643 70224870 882694687 1947715329 0 64765 0 773435 
1789310435.128471582	456000000	54	0 23308971 32015643 70224870 882694687 1947878545 0 64765 0 773435 
1789310435.425977237	456000000	54	0 23308971 32015643 70224870 882694687 1948024448 0 64765 0 773435 
1789310435.730087527	456000000	52	0 23308971 32015643 70224870 882694687 1948187248 0 64765 0 773435 
1789310436.031040787	456000000	52	0 23308971 32015643 70224870 882694687 1948349524 0 64765 0 773435 
1789310436.335652744	456000000	52	0 23308971 32015643 70224870 882694687 1948516843 0 64765 0 773435 
1789310436.639824649	456000000	49	0 23308971 32015643 70224870 882694687 1948636588 0 64765 0 773435 
1789310436.945350930	456000000	49	0 23308971 32015643 70224870 882694687 1948794480 0 64765 0 773435 
1789310437.248393564	456000000	49	0 23308971 32015643 70224870 882694687 1948967270 0 64765 0 773435 
1789310437.550518230	456000000	49	0 23308971 32015643 70224870 882694687 1949143595 0 64765 0 773435 
1789310437.856321125	456000000	55	0 23308971 32015643 70224870 882694687 1949323297 0 64765 0 773435 
1789310438.163015374	456000000	55	0 23308971 32015643 70224870 882694687 1949507004 0 64765 0 773435 
1789310438.468881759	456000000	55	0 23308971 32015643 70224870 882694687 1949677876 0 64765 0 773435 
1789310438.770951580	456000000	57	0 23308971 32015643 70224870 882694687 1949846089 0 64765 0 773435 
1789310439.081579736	456000000	57	0 23308971 32015643 70224870 882694687 1950017355 0 64765 0 773435 
1789310439.387040704	456000000	57	0 23308971 32015643 70224870 882694687 1950181663 0 64765 0 773435 
1789310439.695238287	456000000	54	0 23308971 32015643 70224870 882694687 1950353936 0 64765 0 773435 
1789310440.000167224	456000000	54	0 23308971 32015643 70224870 882694687 1950532915 0 64765 0 773435 
1789310440.305807723	456000000	54	0 23308971 32015643 70224870 882694687 1950708967 0 64765 0 773435 
1789310440.601886450	456000000	54	0 23308971 32015643 70224870 882694687 1950857780 0 64765 0 773435 
1789310440.902888095	456000000	55	0 23308971 32015643 70224870 882694687 1951019033 0 64765 0 773435 
1789310441.206969011	456000000	55	0 23308971 32015643 70224870 882694687 1951192753 0 64765 0 773435 
1789310441.510528937	456000000	55	0 23308971 32015643 70224870 882694687 1951362388 0 64765 0 773435 
1789310441.815111571	456000000	55	0 23308971 32015643 70224870 882694687 1951533303 0 64765 0 773435 
1789310442.116291132	456000000	55	0 23308971 32015643 70224870 882694687 1951697137 0 64765 0 773435 
1789310442.423250642	456000000	55	0 23308971 32015643 70224870 882694687 1951876727 0 64765 0 773435 
1789310442.735574423	456000000	56	0 23308971 32015643 70224870 882694687 1952054753 0 64765 0 773435 
1789310443.038657058	456000000	56	0 23308971 32015643 70224870 882694687 1952236090 0 64765 0 773435 
1789310443.337879848	456000000	56	0 23308971 32015643 70224870 882694687 1952421903 0 64765 0 773435 
1789310443.652365140	456000000	60	0 23308971 32015643 70224870 882694687 1952611454 0 64765 0 773435 
1789310443.956706785	456000000	60	0 23308971 32015643 70224870 882694687 1952792413 0 64765 0 773435 
1789310444.263444732	456000000	60	0 23308971 32015643 70224870 882694687 1952972772 0 64765 0 773435 
1789310444.568589241	456000000	60	0 23308971 32015643 70224870 882694687 1953158017 0 64765 0 773435 
1789310444.886188960	456000000	59	0 23308971 32015643 70224870 882694687 1953339951 0 64765 0 773435 
1789310445.188771543	456000000	59	0 23308971 32015643 70224870 882694687 1953521911 0 64765 0 773435 
1789310445.494571782	456000000	59	0 23308971 32015643 70224870 882694687 1953706479 0 64765 0 773435 
1789310445.798977801	456000000	59	0 23308971 32015643 70224870 882694687 1953890262 0 64765 0 773435 
1789310446.102457102	456000000	59	0 23308971 32015643 70224870 882694687 1954077390 0 64765 0 773435 
1789310446.404784945	456000000	59	0 23308971 32015643 70224870 882694687 1954262830 0 64765 0 773435 
1789310446.704133829	456000000	59	0 23308971 32015643 70224870 882694687 1954418993 0 64765 0 773435 
1789310447.005746932	456000000	59	0 23308971 32015643 70224870 882694687 1954575612 0 64765 0 773435 
1789310447.311579619	456000000	59	0 23308971 32015643 70224870 882694687 1954732257 0 64765 0 773435 
1789310447.608861211	456000000	59	0 23308971 32015643 70224870 882694687 1954911203 0 64765 0 773435 
1789310447.913160929	456000000	54	0 23308971 32015643 70224870 882694687 1955098929 0 64765 0 773435 
1789310448.221470074	456000000	54	0 23308971 32015643 70224870 882694687 1955289093 0 64765 0 773435 
1789310448.528564219	456000000	54	0 23308971 32015643 70224870 882694687 1955450128 0 64765 0 773435 
1789310448.826258676	456000000	58	0 23308971 32015643 70224870 882694687 1955603155 0 64765 0 773435 
1789310449.127499852	456000000	58	0 23308971 32015643 70224870 882694687 1955780567 0 64765 0 773435 
1789310449.429217694	456000000	58	0 23308971 32015643 70224870 882694687 1955930161 0 64765 0 773435 
1789310449.730065693	456000000	52	0 23308971 32015643 70224870 882694687 1956075798 0 64765 0 773435 
1789310450.027476921	456000000	52	0 23308971 32015643 70224870 882694687 1956241609 0 64765 0 773435 
1789310450.333971326	456000000	52	0 23308971 32015643 70224870 882694687 1956407723 0 64765 0 773435 
1789310450.636284533	456000000	54	0 23308971 32015643 70224870 882694687 1956576749 0 64765 0 773435 
1789310450.940400345	456000000	54	0 23308971 32015643 70224870 882694687 1956750831 0 64765 0 773435 
1789310451.241218812	456000000	54	0 23308971 32015643 70224870 882694687 1956917769 0 64765 0 773435 
1789310451.543108165	456000000	54	0 23308971 32015643 70224870 882694687 1957084070 0 64765 0 773435 
1789310451.846432362	456000000	55	0 23308971 32015643 70224870 882694687 1957249257 0 64765 0 773435 
1789310452.151634163	456000000	55	0 23308971 32015643 70224870 882694687 1957422008 0 64765 0 773435 
1789310452.459693621	456000000	55	0 23308971 32015643 70224870 882694687 1957586323 0 64765 0 773435 
1789310452.764728443	456000000	54	0 23308971 32015643 70224870 882694687 1957756416 0 64765 0 773435 
1789310453.071019255	456000000	54	0 23308971 32015643 70224870 882694687 1957935958 0 64765 0 773435 
1789310453.377947984	456000000	54	0 23308971 32015643 70224870 882694687 1958114045 0 64765 0 773435 
1789310453.675356190	456000000	55	0 23308971 32015643 70224870 882694687 1958235019 0 64765 0 773435 
1789310453.972644345	456000000	55	0 23308971 32015643 70224870 882694687 1958384797 0 64765 0 773435 
1789310454.271439427	456000000	55	0 23308971 32015643 70224870 882694687 1958557672 0 64765 0 773435 
1789310454.579177009	456000000	55	0 23308971 32015643 70224870 882694687 1958746495 0 64765 0 773435 
1789310454.887281571	456000000	53	0 23308971 32015643 70224870 882694687 1958895317 0 64765 0 773435 
1789310455.183968945	456000000	53	0 23308971 32015643 70224870 882694687 1959056574 0 64765 0 773435 
1789310455.494173507	456000000	53	0 23308971 32015643 70224870 882694687 1959224767 0 64765 0 773435 
1789310455.794105776	456000000	52	0 23308971 32015643 70224870 882694687 1959388366 0 64765 0 773435 
