# секунда	частота	CPU мс	GPU мс	draw calls
367	72.0	1.727	10.449	1600
368	72.0	1.677	10.419	1600
369	72.0	1.687	10.504	1600
370	72.0	1.628	10.491	1600
371	72.0	1.684	10.407	1600
372	72.0	1.650	10.612	1600
373	72.0	1.627	10.662	1600
374	72.0	1.648	10.567	1600
375	72.0	1.629	10.533	1600
376	72.0	1.647	11.242	1600
377	72.0	1.670	10.949	1600
378	72.0	1.593	10.780	1600
379	72.0	1.672	10.949	1600
380	72.0	1.642	11.133	1600
381	72.0	1.769	10.379	1600
382	72.0	1.650	10.856	1600
383	72.0	1.675	10.813	1600
384	72.0	1.811	10.714	1600
385	72.0	1.253	10.270	1600
386	72.0	1.655	10.716	1600
387	72.0	1.637	10.746	1600
388	72.0	1.721	10.799	1600
389	72.0	1.606	10.283	1600
390	72.0	1.652	10.407	1600
391	72.0	1.662	10.427	1600
392	72.0	1.628	11.124	1600
393	72.0	1.573	10.480	1600
394	72.0	1.600	10.761	1600
395	72.0	1.603	10.425	1600
396	72.0	1.576	10.318	1600
397	72.0	1.632	10.649	1600
398	72.0	1.600	10.534	1600
399	72.0	1.539	10.699	1600
400	72.0	1.524	10.516	1600
401	72.0	1.550	10.341	1600
402	72.0	1.576	10.125	1600
403	72.0	1.570	10.334	1600
404	72.0	1.724	10.815	1600
405	72.0	1.719	10.564	1600
406	72.0	1.662	10.539	1600
407	72.0	1.704	10.437	1600
408	72.0	1.628	10.491	1600
409	72.0	1.680	10.456	1600
410	72.0	1.676	10.901	1600
411	72.0	1.816	11.376	1600
412	72.0	1.608	11.186	1600
413	72.0	1.740	10.563	1600
414	72.0	1.608	10.362	1600
415	72.0	1.743	10.403	1600
416	72.0	1.619	10.324	1600
417	72.0	1.664	10.297	1600
418	72.0	1.758	10.437	1600
419	72.0	1.644	10.446	1600
420	72.0	2.300	6.800	1600
421	72.0	1.623	10.207	1600
422	72.0	1.690	10.347	1600
423	72.0	1.670	10.649	1600
424	72.0	1.770	10.610	1600
425	72.0	1.640	10.331	1600
426	72.0	1.618	10.520	1600
427	72.0	1.585	10.409	1600
428	72.0	1.752	10.605	1600
429	72.0	1.608	10.434	1600
430	72.0	1.728	10.408	1600
431	72.0	1.662	10.422	1600
432	72.0	1.627	10.392	1600
433	72.0	1.742	10.498	1600
434	72.0	1.751	10.535	1600
435	72.0	1.653	10.425	1600
436	72.0	1.659	10.416	1600
437	72.0	1.614	10.475	1600
438	72.0	1.624	10.520	1600
439	72.0	1.651	10.478	1600
440	72.0	1.635	10.396	1600
441	72.0	1.662	11.169	1600
442	72.0	1.667	11.234	1600
443	72.0	1.721	10.509	1600
444	72.0	1.590	11.019	1600
445	72.0	1.866	10.799	1600
446	72.0	1.706	10.775	1600
447	72.0	1.705	10.377	1600
448	72.0	1.723	10.733	1600
449	72.0	1.694	10.618	1600
450	72.0	1.588	10.824	1600
451	72.0	1.578	10.878	1600
452	72.0	1.590	10.858	1600
453	72.0	1.718	11.291	1600
454	72.0	1.552	10.755	1600
455	72.0	1.572	10.879	1600
456	72.0	1.524	10.817	1600
457	72.0	1.621	10.832	1600
458	72.0	1.665	10.802	1600
459	72.0	1.625	10.838	1600
460	72.0	1.724	10.764	1600
461	72.0	1.821	11.233	1600
462	72.0	1.578	10.765	1600
463	72.0	1.582	10.801	1600
464	72.0	1.613	10.666	1600
465	72.0	1.770	11.134	1600
466	72.0	1.739	10.956	1600
467	72.0	1.624	10.986	1600
468	72.0	1.570	10.603	1600
469	72.0	1.667	10.586	1600
470	72.0	1.772	11.247	1600
471	72.0	1.586	11.076	1600
472	72.0	1.629	10.910	1600
473	72.0	1.713	10.383	1600
474	72.0	1.737	10.645	1600
475	72.0	1.588	10.537	1600
476	72.0	1.660	11.002	1600
477	72.0	1.621	10.481	1600
478	72.0	1.647	10.890	1600
479	72.0	1.558	10.731	1600
480	72.0	1.619	10.346	1600
481	72.0	1.572	10.475	1600
482	72.0	1.561	10.453	1600
483	72.0	1.582	10.670	1600
484	72.0	1.646	10.682	1600
485	72.0	1.609	10.668	1600
486	72.0	1.540	10.435	1600
487	72.0	1.624	10.641	1600
488	72.0	1.594	10.505	1600
489	72.0	1.639	10.727	1600
490	72.0	1.576	10.624	1600
491	72.0	1.575	10.735	1600
492	72.0	1.553	10.590	1600
493	72.0	1.535	10.643	1600
494	72.0	1.566	10.580	1600
495	72.0	1.529	10.657	1600
496	72.0	1.518	10.596	1600
