unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352117.0303	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1091	0.9836		0	0	0	0
1789352117.0303	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9881		0	0	0	0
1789352117.0411	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1091	0.9836		0	0	0	0
1789352117.0411	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9881		0	0	0	0
1789352117.0524	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1092	0.9836		0	0	0	0
1789352117.0524	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9881		0	0	0	0
1789352117.0637	rest	L	1	0.0017	0.0013	0.0008	0.0048	0.1092	0.9836		0	0	0	0
1789352117.0637	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9881		0	0	0	0
1789352117.0746	rest	L	1	0.0017	0.0013	0.0008	0.0049	0.1092	0.9835		0	0	0	0
1789352117.0746	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9881		0	0	0	0
1789352117.0857	rest	L	1	0.0017	0.0013	0.0008	0.0049	0.1091	0.9836		0	0	0	0
1789352117.0857	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9882		0	0	0	0
1789352117.0969	rest	L	1	0.0017	0.0013	0.0008	0.0049	0.1091	0.9836		0	0	0	0
1789352117.0969	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9882		0	0	0	0
1789352117.1079	rest	L	1	0.0017	0.0013	0.0008	0.0050	0.1091	0.9836		0	0	0	0
1789352117.1079	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9882		0	0	0	0
1789352117.1192	rest	L	1	0.0017	0.0013	0.0008	0.0050	0.1091	0.9836		0	0	0	0
1789352117.1192	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9883		0	0	0	0
1789352117.1302	rest	L	1	0.0017	0.0013	0.0008	0.0050	0.1091	0.9836		0	0	0	0
1789352117.1302	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9884		0	0	0	0
1789352117.1412	rest	L	1	0.0017	0.0013	0.0008	0.0051	0.1091	0.9836		0	0	0	0
1789352117.1412	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9885		0	0	0	0
1789352117.1525	rest	L	1	0.0017	0.0013	0.0009	0.0051	0.1091	0.9836		0	0	0	0
1789352117.1525	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9885		0	0	0	0
1789352117.1638	rest	L	1	0.0017	0.0013	0.0009	0.0051	0.1091	0.9835		0	0	0	0
1789352117.1638	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9884		0	0	0	0
1789352117.1747	rest	L	1	0.0017	0.0013	0.0009	0.0052	0.1091	0.9834		0	0	0	0
1789352117.1747	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9884		0	0	0	0
1789352117.1858	rest	L	1	0.0017	0.0013	0.0009	0.0052	0.1091	0.9833		0	0	0	0
1789352117.1858	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9884		0	0	0	0
1789352117.1969	rest	L	1	0.0017	0.0013	0.0009	0.0052	0.1091	0.9833		0	0	0	0
1789352117.1969	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9883		0	0	0	0
1789352117.2081	rest	L	1	0.0017	0.0013	0.0009	0.0052	0.1091	0.9832		0	0	0	0
1789352117.2081	rest	R	1	0.0013	0.0021	0.0003	0.0048	0.1089	0.9884		0	0	0	0
