# секунда	частота	CPU мс	GPU мс	draw calls	клок GPU Гц	unix_время
315	90.0	0.870	6.877	800	-1	1789437607.425
316	90.0	1.304	6.950	800	-1	1789437608.426
317	90.0	1.244	6.888	800	-1	1789437609.425
318	90.0	0.889	6.585	800	-1	1789437610.425
319	90.0	1.308	6.913	800	-1	1789437611.426
320	90.0	0.980	6.546	800	-1	1789437612.426
321	90.0	0.777	6.540	800	-1	1789437613.426
322	90.0	0.880	6.878	800	-1	1789437614.425
323	90.0	0.805	6.518	800	-1	1789437615.426
324	90.0	0.867	6.501	800	-1	1789437616.437
325	90.0	1.153	6.814	800	-1	1789437617.437
326	90.0	1.196	6.842	800	-1	1789437618.437
327	90.0	0.885	6.794	800	-1	1789437619.437
328	90.0	0.871	6.771	800	-1	1789437620.437
329	90.0	1.084	6.849	800	-1	1789437621.438
330	90.0	0.886	6.804	800	-1	1789437622.438
331	90.0	1.267	6.846	800	-1	1789437623.438
332	90.0	0.898	6.459	800	-1	1789437624.438
333	90.0	0.657	7.697	800	-1	1789437625.438
334	90.0	0.772	6.803	800	-1	1789437626.438
335	90.0	1.206	6.829	800	-1	1789437627.438
336	90.0	0.900	6.803	800	-1	1789437628.438
337	90.0	0.845	6.795	800	-1	1789437629.438
338	90.0	0.874	6.796	800	-1	1789437630.439
339	90.0	0.868	6.454	800	-1	1789437631.439
340	90.0	0.832	6.475	800	-1	1789437632.439
341	90.0	1.029	6.842	800	-1	1789437633.438
342	90.0	0.910	6.816	800	-1	1789437634.439
343	90.0	1.068	6.793	800	-1	1789437635.439
344	90.0	0.916	6.444	800	-1	1789437636.439
345	90.0	0.806	6.505	800	-1	1789437637.439
346	90.0	0.673	6.496	800	-1	1789437638.439
347	90.0	0.923	6.841	800	-1	1789437639.439
348	90.0	0.890	6.447	800	-1	1789437640.439
349	90.0	0.785	6.473	800	-1	1789437641.451
350	90.0	0.812	6.503	800	-1	1789437642.451
351	90.0	0.781	6.473	800	-1	1789437643.451
352	90.0	0.812	6.614	800	-1	1789437644.461
353	90.0	1.201	7.010	800	-1	1789437645.461
354	90.0	0.859	6.904	800	-1	1789437646.461
355	90.0	0.824	6.556	800	-1	1789437647.462
356	90.0	0.636	7.755	800	-1	1789437648.462
357	90.0	0.859	6.609	800	-1	1789437649.462
358	90.0	0.846	6.835	800	-1	1789437650.462
359	90.0	0.884	6.466	800	-1	1789437651.473
360	90.0	0.837	6.770	800	-1	1789437652.474
361	90.0	0.805	6.778	800	-1	1789437653.473
362	90.0	0.818	6.462	800	-1	1789437654.474
363	90.0	0.820	6.483	800	-1	1789437655.485
364	90.0	1.106	6.827	800	-1	1789437656.485
365	90.0	0.791	6.446	800	-1	1789437657.485
366	90.0	0.879	6.879	800	-1	1789437658.485
367	90.0	1.004	6.508	800	-1	1789437659.485
368	90.0	1.298	6.919	800	-1	1789437660.485
369	90.0	0.771	6.457	800	-1	1789437661.485
370	90.0	0.800	6.490	800	-1	1789437662.485
371	90.0	0.778	6.454	800	-1	1789437663.486
372	90.0	0.835	6.449	800	-1	1789437664.486
373	90.0	0.875	6.479	800	-1	1789437665.486
374	90.0	0.917	6.801	800	-1	1789437666.485
375	90.0	0.838	6.749	800	-1	1789437667.486
376	90.0	0.836	6.483	800	-1	1789437668.486
377	90.0	0.870	6.773	800	-1	1789437669.486
