# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789400179.606562470	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400179.899244791	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400180.193331070	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400180.486538755	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400180.777712326	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400181.069987147	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400181.362833374	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400181.655353612	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400181.949689526	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400182.242743462	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400182.534351459	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400182.826118624	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400183.121515841	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400183.411873578	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400183.709256681	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400184.003175512	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400184.295197937	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400184.591193904	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400184.888857579	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400185.185236932	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400185.479286649	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400185.773475532	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400186.066467697	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400186.361592987	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400186.654906505	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400186.946168409	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400187.239578595	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400187.532472947	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400187.825610580	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400188.118628422	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400188.411754701	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400188.704354366	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400188.999369083	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400189.292181195	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400189.585097266	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400189.880931671	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400190.173642585	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400190.466562354	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400190.761631550	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400191.052774027	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400191.344054056	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400191.635562939	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400191.934321979	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400192.227370602	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400192.518225162	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400192.811230765	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
1789400193.102020689	545000000	0	0 34949586 79609748 155225473 1055667508 2689932595 74444 76541 11845 1210238 
