# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498390.602	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498390.756	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
1789498390.811	мастер_значение	globe	12.5	2.5	2.51	7	ball					radius_cm=12.5
1789498390.849	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498390.930	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498390.950	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498390.962	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498391.018	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498393.362	мастер_значение	globe	12.5	2.5	2.51	7	ball					radius_cm=12.5
1789498393.818	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
1789498394.263	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498394.663	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498395.408	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498396.152	мастер_значение	globe	15.0	2.5	2.62	8	ball					radius_cm=15.0
1789498401.530	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498401.752	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498402.007	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498402.184	мастер_значение	globe	13.0	2.5	2.61	7	ball					radius_cm=13.0
1789498402.373	мастер_значение	globe	12.5	2.5	2.51	7	ball					radius_cm=12.5
1789498402.674	мастер_значение	globe	12.0	2.5	2.41	7	ball					radius_cm=12.0
1789498403.074	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498403.496	мастер_значение	globe	11.0	2.5	2.6	6	ball					radius_cm=11.0
1789498403.852	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498404.419	мастер_значение	globe	10.0	2.5	2.37	6	ball					radius_cm=10.0
1789498409.108	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498409.975	мастер_значение	globe	11.0	2.5	2.6	6	ball					radius_cm=11.0
1789498410.464	мастер_значение	globe	11.5	2.5	2.31	7	ball					radius_cm=11.5
1789498415.040	панель_кнопка	globe	11.5	2.5	2.31	7	ball					next
1789498415.040	мастер_подтверждено	globe	11.5	2.5	2.31	7	ball					radius_cm
1789498417.776	мастер_значение	globe	11.5	2.3	2.31	7	ball					cell_cm=2.3
1789498417.798	мастер_значение	globe	11.5	2.2	2.31	7	ball					cell_cm=2.2
1789498417.813	мастер_значение	globe	11.5	2.1	2.01	8	ball					cell_cm=2.1
1789498417.837	мастер_значение	globe	11.5	1.9	2.01	8	ball					cell_cm=1.9
1789498417.853	мастер_значение	globe	11.5	1.8	2.01	8	ball					cell_cm=1.8
1789498417.868	мастер_значение	globe	11.5	1.7	2.01	8	ball					cell_cm=1.7
1789498417.883	мастер_значение	globe	11.5	1.6	2.01	8	ball					cell_cm=1.6
1789498417.922	мастер_значение	globe	11.5	1.5	2.01	8	ball					cell_cm=1.5
1789498418.309	мастер_значение	globe	11.5	1.6	2.01	8	ball					cell_cm=1.6
1789498422.432	мастер_значение	globe	11.5	2.4	2.31	7	ball					cell_cm=2.4
1789498422.450	мастер_значение	globe	11.5	2.5	2.31	7	ball					cell_cm=2.5
1789498422.496	мастер_значение	globe	11.5	2.6	2.72	6	ball					cell_cm=2.6
1789498422.516	мастер_значение	globe	11.5	2.7	2.72	6	ball					cell_cm=2.7
1789498422.537	мастер_значение	globe	11.5	2.9	2.72	6	ball					cell_cm=2.9
1789498422.551	мастер_значение	globe	11.5	3.1	3.17	5	ball					cell_cm=3.1
1789498422.563	мастер_значение	globe	11.5	3.5	3.17	5	ball					cell_cm=3.5
1789498422.573	мастер_значение	globe	11.5	3.8	4.01	4	ball					cell_cm=3.8
1789498422.580	мастер_значение	globe	11.5	3.9	4.01	4	ball					cell_cm=3.9
1789498422.591	мастер_значение	globe	11.5	4.1	4.01	4	ball					cell_cm=4.1
1789498422.605	мастер_значение	globe	11.5	4.3	4.01	4	ball					cell_cm=4.3
1789498422.615	мастер_значение	globe	11.5	4.5	4.01	4	ball					cell_cm=4.5
1789498422.625	мастер_значение	globe	11.5	4.8	5.44	3	ball					cell_cm=4.8
