# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-20T11:28:12
1789885868.085	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				профиль: done
1789885871.784	профиль_глаза	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				1.26 м
1789885871.785	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
1789885871.785	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_eye" }
1789885878.617	профиль_глаза	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				1.59 м
1789885878.618	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
1789885878.619	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_eye" }
1789885883.414	профиль_место	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				зоны нет
1789885883.415	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_place" }
1789885889.716	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "folder": "profile_accounts", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885889.716	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "do": "reload", "view": "browse", "folder": "profile_accounts" }
1789885893.977	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "folder": "profile_accounts", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885893.978	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "do": "profile", "view": "browse", "folder": "profile_accounts", "action": "profile_account:google" }
1789885896.082	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				профиль: cancel
1789885896.807	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				show
1789885896.808	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				{ "do": "profile", "view": "browse", "folder": "profile_accounts", "action": "profile_account:claude" }
1789885897.097	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_accounts				session_visible кадр 18191
