# unix_время	событие	стратегия	радиус_м	частота	альфа	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T07:56:35
1789480125.061	select	lens	0.11	0	0.26	assets	light_lamp	нет	46833	{ "action": "enter", "slot": 1, "item": "assets", "title": "Ассеты", "via": "ray" }
1789480125.061	folder	lens	0.11	0	0.26	assets	light_lamp		46834	{ "folder": "assets", "items": 8 }
1789480125.069	active	lens	0.11	0	0.26	assets	light_lamp		46841	{ "key": "(34, -14)", "slot": 0 }
1789480128.049	select	lens	0.11	0	0.26	assets	light_lamp	нет	49822	{ "action": "close", "slot": 6, "item": "asset_lantern", "title": "Свет", "via": "ray" }
1789480129.360	folder	lens	0.11	0	0.26	assets	light_lamp		51133	{ "folder": "assets", "items": 8 }
1789480129.361	toggle	lens	0.11	0	0.26	assets	light_lamp		51133	{ "open": true }
1789480129.371	active	lens	0.11	0	0.26	assets	light_lamp		51144	{ "key": "(34, -14)", "slot": 0 }
1789480130.106	select	lens	0.11	0	0.26	assets	light_lamp	нет	51878	{ "action": "close", "slot": 6, "item": "asset_lantern", "title": "Свет", "via": "ray" }
1789480130.494	folder	lens	0.11	0	0.26	assets	light_lamp		52266	{ "folder": "assets", "items": 8 }
1789480130.494	toggle	lens	0.11	0	0.26	assets	light_lamp		52267	{ "open": true }
1789480130.504	active	lens	0.11	0	0.26	assets	light_lamp		52277	{ "key": "(34, -14)", "slot": 0 }
1789480131.427	select	lens	0.11	0	0.26	assets	light_lamp	нет	53200	{ "action": "stay", "slot": 7, "item": "asset_import", "title": "Импорт", "via": "ray" }
1789480133.694	back	lens	0.11	0	0.26		light_lamp		55466	{ "action": "back" }
1789480133.694	folder	lens	0.11	0	0.26		light_lamp		55467	{ "folder": "", "items": 11 }
1789480133.702	active	lens	0.11	0	0.26		light_lamp		55475	{ "key": "(33, -13)", "slot": 0 }
1789480139.239	select	lens	0.11	0	0.26	tools	light_lamp	нет	61011	{ "action": "enter", "slot": 3, "item": "tools", "title": "Инструменты", "via": "ray" }
1789480139.239	folder	lens	0.11	0	0.26	tools	light_lamp		61012	{ "folder": "tools", "items": 6 }
1789480139.247	active	lens	0.11	0	0.26	tools	light_lamp		61019	{ "key": "(34, -13)", "slot": 0 }
1789480141.038	back	lens	0.11	0	0.26		light_lamp		62811	{ "action": "back" }
1789480141.039	folder	lens	0.11	0	0.26		light_lamp		62811	{ "folder": "", "items": 11 }
1789480141.047	active	lens	0.11	0	0.26		light_lamp		62819	{ "key": "(33, -13)", "slot": 0 }
1789480145.438	select	lens	0.11	0	0.26	logic	light_lamp	нет	67211	{ "action": "enter", "slot": 2, "item": "logic", "title": "Логика", "via": "ray" }
1789480145.439	folder	lens	0.11	0	0.26	logic	light_lamp		67211	{ "folder": "logic", "items": 6 }
1789480145.447	active	lens	0.11	0	0.26	logic	light_lamp		67220	{ "key": "(33, -13)", "slot": 0 }
1789480149.739	select	lens	0.11	0	0.26	logic	light_lamp	нет	71511	{ "action": "close", "slot": 0, "item": "logic_trigger", "title": "Триггер", "via": "ray" }
1789480150.484	folder	lens	0.11	0	0.26	logic	light_lamp		72256	{ "folder": "logic", "items": 6 }
1789480150.484	toggle	lens	0.11	0	0.26	logic	light_lamp		72256	{ "open": true }
1789480150.494	active	lens	0.11	0	0.26	logic	light_lamp		72267	{ "key": "(33, -13)", "slot": 0 }
1789480151.561	back	lens	0.11	0	0.26		light_lamp		73333	{ "action": "back" }
1789480151.561	folder	lens	0.11	0	0.26		light_lamp		73334	{ "folder": "", "items": 11 }
1789480151.569	active	lens	0.11	0	0.26		light_lamp		73342	{ "key": "(33, -13)", "slot": 0 }
1789480153.291	active	lens	0.11	0	0.26		light_lamp		75063	{ "key": "(33, -12)", "slot": 2 }
1789480153.913	active	lens	0.11	0	0.26		light_lamp		75686	{ "key": "(33, -11)", "slot": 8 }
1789480154.995	select	lens	0.11	0	0.26		light_lamp	нет	76767	{ "action": "close", "slot": 9, "item": "play", "title": "Запустить", "via": "ray" }
1789480155.661	folder	lens	0.11	0	0.26		light_lamp		77434	{ "folder": "", "items": 11 }
1789480155.661	toggle	lens	0.11	0	0.26		light_lamp		77434	{ "open": true }
1789480155.672	active	lens	0.11	0	0.26		light_lamp		77444	{ "key": "(33, -11)", "slot": 0 }
1789480156.525	active	lens	0.11	0	0.26		light_lamp		78297	{ "key": "(32, -11)", "slot": -1 }
1789480156.725	active	lens	0.11	0	0.26		light_lamp		78497	{ "key": "(31, -11)", "slot": -2 }
1789480157.092	active	lens	0.11	0	0.26		light_lamp		78864	{ "key": "(32, -12)", "slot": -2 }
1789480157.191	active	lens	0.11	0	0.26		light_lamp		78964	{ "key": "(32, -11)", "slot": -1 }
1789480157.491	active	lens	0.11	0	0.26		light_lamp		79264	{ "key": "(32, -10)", "slot": 1 }
1789480159.280	active	lens	0.11	0	0.26		light_lamp		81053	{ "key": "(33, -11)", "slot": 0 }
1789480160.802	active	lens	0.11	0	0.26		light_lamp		82575	{ "key": "(32, -10)", "slot": 1 }
1789480162.559	active	lens	0.11	0	0.26		light_lamp		84331	{ "key": "(31, -9)", "slot": 6 }
1789480162.781	active	lens	0.11	0	0.26		light_lamp		84553	{ "key": "(31, -10)", "slot": -2 }
1789480163.025	active	lens	0.11	0	0.26		light_lamp		84798	{ "key": "(31, -11)", "slot": -2 }
1789480163.191	active	lens	0.11	0	0.26		light_lamp		84964	{ "key": "(31, -10)", "slot": -2 }
1789480163.358	active	lens	0.11	0	0.26		light_lamp		85130	{ "key": "(32, -10)", "slot": 1 }
